seed,model,sampler_type,selector,int_time,logstep_jitter,mean_1st_dim,var_1st_dim,time,jitter_std,n_logprob,n_steps,miness,acceptance_prob,step_size,n_rounds,energy_jump_dist
27,mRNA,RWMH4.0,inverted,single_step,adapt,0.1701955649050051,0.03662155553540539,75.81612341600001,0,2.097152e6,2.097152e6,225.8613277394309,0.9448598834103754,0.0008050430978166248,1,0.0752179810825437
23,mRNA,MALA0.25,inverted,single_step,adapt,0.28490400325018994,0.0,597.959090262,0,6.291456e6,1.048576e6,NaN,0.0,0.007530060834913411,1,0.0
7,mRNA,SimpleAHMC,inverted,single_step,adapt,0.17233691975467189,0.0012765838945441085,1462.454968143,0.12382316589355426,1.988298e7,4.446457e6,554.9373218831049,0.6837845505207625,0.032202774420928476,1,0.1293013906199071
5,mRNA,MALA10.0,inverted,single_step,adapt,-0.2848581461208832,0.0,494.06820116899996,0,6.291456e6,1.048576e6,NaN,0.0,0.3012024333965364,1,0.0
9,mRNA,SimpleAHMC,inverted,single_step,adapt,0.15606688958568962,0.0012836920053872956,1676.955138719,0.1251125335693296,1.9580824e7,4.370918e6,778.5430592262184,0.6355001239744088,0.015572654389370711,1,0.18641575548005926
28,mRNA,HMC0.25,inverted,single_step,adapt,-0.816150619336411,0.0,440.879324443,0,6.291456e6,1.048576e6,NaN,0.0,0.0005323247338016889,1,0.0
14,mRNA,RWMH4.0,inverted,single_step,adapt,0.199720348194975,0.0007543060818272563,118.86393494800001,0,2.097152e6,2.097152e6,265.9708407740244,0.85585357865024,0.0008050430978166248,1,0.10837130664929426
9,mRNA,HMC10.0,inverted,single_step,adapt,-0.7217660742545671,0.0,400.080070986,0,6.291456e6,1.048576e6,NaN,0.0,0.021292989352067557,1,0.0
21,mRNA,MALA0.1,inverted,single_step,adapt,0.26706396511404057,0.025084063426425603,538.814864227,0,6.291456e6,1.048576e6,352.2036787223034,0.4580973069677574,0.0030120243339653643,1,0.1270552886590557
27,mRNA,SimpleAHMC,inverted,rand,adapt,0.1715295125905186,0.0010158778532928724,1422.4977056530001,0.11867046356200962,1.727076e7,3.793402e6,634.5918888937937,0.6785349318909704,0.02547627197648419,1,0.15113448356880663
24,mRNA,HMC4.0,inverted,single_step,adapt,-1.2886048590851433,0.0,1088.772990705,0,9.437184e6,1.048576e6,NaN,1.0915585335600614e-15,0.008517195740827023,1,0.0
19,mRNA,SimpleRWMH,inverted,single_step,adapt,-0.08523743345840407,0.0,102.27900260199999,0.0,4.621838e6,4.621838e6,NaN,0.0,5.303826881169305e-7,1,0.0
25,mRNA,SimpleAHMC,inverted,single_step,adapt,0.1568374938766402,0.0014911037597129786,1556.126954023,0.10988807678222762,1.7075292e7,3.744535e6,586.4333214636677,0.6620498897452904,0.014744261159398137,1,0.18435495167126778
3,mRNA,SimpleAHMC,inverted,single_step,adapt,0.1638630544906846,0.0010477596152641446,1511.372201574,0.11130428314209098,1.7880676e7,3.945881e6,786.3899377815997,0.6621682432648993,0.017761778531337185,1,0.1875470902345531
