scale_idx,seed,model,sampler_type,selector,int_time,logstep_jitter,scale,miness,time,n_steps,margin_ess_exact,margin_mean,margin_var
3,26,funnel_scale,SliceSampler,standard,single_step,none,0.6000000000000001,117.20960778401027,0.306708977,226165.0,180.61083833077717,0.018317474620077295,9.004788239287283
11,7,funnel_scale,NUTS,standard,single_step,none,2.2,224.57883518801603,0.628662756,218557,462.8180812549669,1.01177454279586,5.850246022938977
3,17,funnel_scale,SimpleAHMC,standard,single_step,normal,0.6000000000000001,177.15386340103507,6.751091727,1.070312e6,920.2775321204335,-0.93091415529417,2.367387316464112
14,9,funnel_scale,SimpleAHMC,inverted,rand,normal,2.8000000000000003,185.08013989946886,1.9754802300000003,43016.0,341.55318460005657,-0.09780711976948334,6.969299663161496
3,2,funnel_scale,NUTS,standard,single_step,none,0.6000000000000001,113.98539603245749,319.989241968,172953066,113.98539603245749,12.61211054603663,1.0692688695077672
16,6,funnel_scale,SimpleRWMH,standard,single_step,normal,3.2,202.102043218925,0.392281665,43741.0,270.99714785613946,-0.5938799289104457,6.933026226352968
16,11,funnel_scale,SimpleAHMC,inverted,rand,normal,3.2,226.2189883828742,2.192457566,81234.0,354.5524699269406,-0.2162033822859714,8.326149505589779
16,21,funnel_scale,SimpleRWMH,inverted,single_step,normal,3.2,270.9576784200526,0.546050658,164212.0,271.29058427882865,0.5710338357896705,11.399174414535572
5,16,funnel_scale,SimpleRWMH,inverted,single_step,none,1.0,213.49657182205237,1.281383231,969520.0,472.0143332430477,0.2736185372587178,7.039449332496589
19,19,funnel_scale,SimpleRWMH,inverted,single_step,normal,3.8000000000000003,114.38167420797899,0.43419553299999997,77501.0,204.60952614138995,0.5327060445738957,10.925200202273576
15,10,funnel_scale,SimpleRWMH,standard,single_step,normal,3.0,172.09515496661928,0.424599549,46347.0,172.09515496661928,-1.0348893362151994,7.816384354536801
17,1,funnel_scale,SimpleAHMC,standard,rand,normal,3.4000000000000004,100.63405105845595,2.010029179,18864.0,185.30706286809755,-0.0009191925202837944,7.124942554650761
18,27,funnel_scale,SimpleRWMH,inverted,single_step,normal,3.6,282.9442285901011,0.550247331,164532.0,282.9442285901011,0.3827583213712501,11.58593756424454
15,7,funnel_scale,SimpleAHMC,standard,single_step,normal,3.0,142.39856368275468,2.3722615,80355.0,219.29234682954606,-0.7898050204587277,8.833942256172929
14,3,funnel_scale,SimpleAHMC,inverted,single_step,none,2.8000000000000003,334.3575527939901,2.551369547,150481.0,502.2519528066532,0.13389772492097948,8.05721175618174
4,19,funnel_scale,SimpleAHMC,inverted,single_step,none,0.8,131.94920718366686,5.574830579,757482.0,218.1068250007989,2.051663773622144,7.43110243508593
15,29,funnel_scale,SimpleAHMC,inverted,rand,none,3.0,110.88325313222862,1.9415461069999997,36483.0,174.04109084922933,-0.049732262662787595,7.4981841379803535
19,18,funnel_scale,SimpleAHMC,standard,rand,normal,3.8000000000000003,325.31712637727,2.153544726,80157.0,325.31712637727,-0.7151338205809656,8.729077648920203
10,17,funnel_scale,SimpleAHMC,standard,rand,none,2.0,185.46001090224502,3.6471921219999994,406304.0,392.5747344114689,0.12383141907047276,8.986800384367399
16,27,funnel_scale,SimpleAHMC,inverted,rand,normal,3.2,293.7136660674382,2.2304265720000003,77313.0,404.26208479359605,-0.43394487013923433,8.126056477093776
14,27,funnel_scale,SimpleRWMH,inverted,single_step,normal,2.8000000000000003,395.6824623338942,0.778920276,346958.0,409.47203187287744,0.07551413562007529,11.699718624278562
8,16,funnel_scale,SliceSampler,standard,single_step,none,1.6,154.24154848965793,0.128347691,39448.0,163.3038153157717,0.4743528741937946,9.6403730529134
6,11,funnel_scale,SimpleAHMC,standard,rand,none,1.2000000000000002,184.13062067050095,4.172396764,567864.0,522.1514149852812,0.2594982042131365,6.098970430496358
8,28,funnel_scale,SimpleAHMC,inverted,rand,none,1.6,113.51814594042129,2.81762144,228309.0,344.5364577466636,-0.07923708861383949,6.986844930907172
1,1,funnel_scale,SimpleRWMH,inverted,single_step,normal,0.2,116.84916269666557,34.484915845,3.4403177e7,116.84916269666557,10.544151183889397,0.6215132153499032
4,29,funnel_scale,SimpleRWMH,inverted,single_step,none,0.8,159.86341868444012,1.3152647439999998,1.010348e6,405.02548734847215,0.10056554891107439,7.131422977757458
18,18,funnel_scale,SimpleAHMC,standard,rand,none,3.6,101.34992086377005,1.9290908120000005,36577.0,127.21566630543786,-0.13010278381705975,10.285550986901459
